x_value,y_value,z_value
291,1181,1245
292,1185,1250
293,1180,1251
294,1184,1256
295,1185,1251
296,1185,1257
297,1192,1253
298,1186,1258
299,1190,1255
300,1187,1257
301,1189,1263
302,1197,1258
303,1194,1261
304,1188,1258
305,1192,1255
306,1193,1254
307,1188,1259
308,1183,1255
309,1184,1254
310,1189,1256
311,1186,1253
312,1190,1252
313,1196,1250
314,1202,1252
315,1208,1254
316,1206,1253
317,1213,1249
318,1214,1254
319,1222,1255
320,1222,1250
321,1216,1256
322,1220,1252
323,1215,1247
324,1219,1249
325,1216,1249
326,1210,1249
327,1214,1252
328,1216,1257
329,1210,1262
330,1218,1258
331,1226,1259
332,1221,1262
333,1226,1259
334,1226,1258
335,1231,1264
336,1239,1260
337,1246,1258
338,1253,1254
339,1256,1251
340,1258,1248
341,1263,1249
342,1267,1244
343,1275,1249
344,1283,1244
345,1290,1247
346,1298,1253
347,1298,1249
348,1302,1244
349,1309,1243
350,1314,1240
351,1309,1240
352,1309,1240
353,1309,1236
354,1307,1237
355,1301,1243
356,1301,1249
357,1304,1247
358,1299,1248
359,1301,1252
360,1305,1252
361,1310,1249
362,1313,1245
363,1312,1241
364,1311,1237
365,1315,1243
366,1315,1244
367,1319,1244
368,1313,1247
369,1316,1248
370,1315,1250
371,1319,1252
372,1319,1258
373,1318,1257
374,1325,1257
375,1325,1262
376,1327,1258
377,1325,1260
378,1332,1262
379,1330,1261
380,1335,1262
381,1343,1264
382,1341,1267
383,1335,1272
384,1330,1273
385,1326,1274
386,1322,1274
387,1322,1276
388,1330,1281
389,1330,1276
390,1330,1278
391,1338,1279
392,1334,1280
393,1341,1284
394,1349,1287
395,1349,1287
396,1352,1287
397,1356,1286
398,1357,1284
399,1363,1280
400,1358,1285
401,1352,1282
402,1358,1286
403,1366,1286
404,1373,1287
405,1377,1284
406,1373,1279
407,1376,1285
408,1370,1286
409,1377,1283
410,1385,1281
411,1390,1282
412,1389,1280
413,1386,1279
414,1384,1278
415,1383,1275
416,1389,1275
417,1396,1270
418,1400,1269
419,1395,1265
420,1396,1270
421,1404,1271
422,1406,1274
423,1404,1280
424,1399,1284
425,1400,1284
426,1394,1282
427,1400,1286
428,1395,1283
429,1401,1286
430,1397,1287
431,1399,1287
432,1398,1292
433,1397,1287
434,1403,1288
435,1402,1291
436,1404,1290
437,1411,1289
438,1415,1294
439,1420,1291
440,1415,1292
441,1416,1298
442,1411,1293
443,1414,1297
444,1411,1297
445,1413,1292
446,1421,1291
447,1423,1292
448,1426,1288
449,1428,1287
450,1427,1291
451,1425,1289
452,1431,1289
453,1431,1288
454,1435,1291
455,1440,1289
456,1445,1285
457,1440,1289
458,1440,1285
459,1439,1289
460,1433,1285
461,1428,1288
462,1429,1285
463,1430,1287
464,1434,1286
465,1435,1281
466,1438,1282
467,1446,1285
468,1446,1282
469,1442,1286
470,1448,1281
471,1449,1277
472,1449,1275
473,1456,1274
474,1457,1279
475,1453,1285
476,1449,1280
477,1445,1284
478,1446,1281
479,1440,1283
480,1437,1288
481,1431,1293
482,1437,1288
483,1432,1292
484,1430,1288
485,1425,1294
486,1420,1298
487,1422,1293
488,1423,1289
489,1424,1293
490,1426,1290
491,1434,1287
492,1435,1291
493,1438,1290
494,1437,1289
495,1445,1295
496,1442,1300
497,1440,1298
498,1441,1304
499,1447,1308
500,1441,1311
501,1440,1317
502,1443,1320
503,1446,1318
504,1447,1319
505,1443,1319
506,1439,1323
507,1438,1327
508,1444,1328
509,1449,1326
510,1452,1329
511,1446,1324
512,1448,1330
513,1447,1335
514,1441,1330
515,1442,1330
516,1448,1329
517,1453,1331
518,1448,1335
519,1445,1337
520,1441,1334
521,1444,1336
522,1445,1333
523,1447,1337
524,1446,1339
525,1441,1338
526,1443,1339
527,1444,1334
528,1444,1331
529,1445,1329
530,1452,1333
531,1446,1328
532,1444,1332
533,1452,1337
534,1446,1341
535,1445,1338
536,1453,1337
537,1455,1334
538,1459,1340
539,1467,1335
540,1471,1334
541,1469,1329
542,1477,1327
543,1477,1323
544,1473,1325
545,1467,1325
546,1464,1323
547,1468,1319
548,1470,1323
549,1468,1319
550,1475,1317
551,1469,1322
552,1465,1317
553,1468,1312
554,1472,1315
555,1479,1310
556,1486,1314
557,1490,1312
558,1494,1313
559,1502,1308
560,1504,1305
561,1510,1305
562,1518,1305
563,1521,1308
564,1518,1305
565,1519,1300
566,1525,1299
567,1525,1300
568,1532,1299
569,1534,1299
570,1537,1296
571,1536,1299
572,1534,1295
573,1531,1295
574,1525,1301
575,1531,1300
576,1538,1301
577,1544,1306
578,1547,1311
579,1542,1314
580,1546,1319
581,1542,1322
582,1542,1317
583,1538,1312
584,1545,1317
585,1545,1318
586,1553,1317
587,1561,1318
588,1559,1320
589,1560,1320
590,1567,1325
591,1571,1330
592,1572,1325
593,1576,1323
594,1582,1326
595,1590,1331
596,1595,1326
597,1589,1324
598,1593,1328
599,1596,1333
600,1598,1332
601,1599,1335
602,1598,1337
603,1593,1339
604,1600,1340
605,1601,1343
606,1603,1348
607,1604,1344
608,1608,1340
609,1615,1338
610,1617,1338
611,1622,1343
612,1624,1338
613,1630,1336
614,1634,1335
615,1639,1336
616,1644,1337
617,1640,1337
618,1635,1338
619,1639,1340
620,1645,1336
621,1642,1341
622,1644,1344
623,1641,1343
624,1638,1347
625,1632,1347
626,1631,1349
627,1636,1350
628,1634,1352
629,1634,1350
630,1631,1356
631,1631,1356
632,1630,1352
633,1637,1358
634,1643,1357
635,1651,1354
636,1648,1351
637,1646,1352
638,1647,1352
639,1650,1353
640,1647,1354
641,1644,1358
642,1639,1361
643,1635,1364
644,1638,1364
645,1641,1361
646,1642,1357
647,1649,1353
648,1647,1348
649,1653,1350
650,1653,1353
651,1652,1359
652,1648,1355
653,1652,1353
654,1648,1359
655,1653,1363
656,1654,1361
657,1652,1360
658,1656,1355
659,1653,1354
660,1651,1358
661,1655,1353
662,1663,1350
663,1658,1356
664,1662,1354
665,1668,1356
666,1670,1360
667,1675,1358
668,1681,1356
669,1683,1357
670,1677,1354
671,1671,1358
672,1665,1364
673,1670,1359
674,1669,1363
675,1663,1367
676,1671,1363
677,1679,1367
678,1687,1365
679,1693,1365
680,1696,1364
681,1703,1368
682,1709,1363
683,1714,1360
684,1710,1366
685,1708,1362
686,1704,1365
687,1710,1362
688,1705,1364
689,1706,1367
690,1714,1369
691,1716,1375
692,1724,1380
693,1730,1385
694,1727,1380
695,1733,1382
696,1739,1388
697,1738,1386
698,1744,1390
699,1745,1392
700,1740,1389
701,1742,1386
702,1739,1390
703,1744,1394
704,1748,1389
705,1747,1386
706,1754,1381
707,1755,1381
708,1763,1384
709,1767,1384
710,1773,1385
711,1771,1391
712,1774,1389
713,1769,1384
714,1765,1381
715,1761,1376
716,1758,1377
717,1756,1372
718,1751,1376
719,1753,1378
720,1747,1375
721,1753,1378
722,1751,1378
723,1748,1379
724,1755,1385
725,1750,1387
726,1756,1387
727,1752,1392
728,1755,1387
729,1755,1390
730,1752,1389
731,1748,1389
732,1746,1390
733,1752,1390
734,1759,1391
735,1763,1394
736,1764,1391
737,1759,1394
738,1763,1394
739,1769,1400
740,1774,1401
741,1775,1404
742,1779,1399
743,1784,1399
744,1788,1397
745,1784,1397
746,1784,1399
747,1789,1402
748,1785,1405
749,1787,1403
750,1795,1398
751,1789,1399
752,1785,1395
753,1785,1390
754,1780,1388
755,1782,1383
756,1788,1386
757,1783,1384
758,1787,1388
759,1784,1387
760,1780,1384
761,1780,1390
762,1774,1396
763,1776,1396
764,1772,1393
765,1779,1393
766,1777,1398
767,1783,1394
768,1782,1391
769,1783,1386
770,1781,1392
771,1776,1390
772,1775,1385
773,1770,1380
774,1773,1385
775,1781,1383
776,1777,1387
777,1780,1390
778,1785,1396
779,1792,1401
780,1799,1407
781,1798,1407
782,1795,1403
783,1794,1409
784,1793,1405
785,1790,1411
786,1787,1415
787,1786,1413
788,1789,1414
789,1785,1415
790,1790,1412
791,1789,1407
792,1797,1404
793,1795,1407
794,1795,1405
795,1797,1410
796,1793,1406
797,1791,1404
798,1794,1408
799,1793,1406
800,1793,1402
801,1793,1403
802,1794,1399
803,1801,1399
804,1809,1397
805,1804,1401
806,1806,1407
807,1804,1412
808,1804,1412
809,1804,1411
810,1810,1417
811,1810,1414
812,1814,1411
813,1814,1411
814,1822,1411
815,1829,1411
816,1834,1413
817,1835,1414
818,1843,1410
819,1846,1414
820,1851,1411
821,1854,1414
822,1857,1412
823,1865,1412
824,1871,1417
825,1865,1418
826,1859,1424
827,1857,1420
828,1857,1424
829,1855,1422
830,1856,1428
831,1854,1427
832,1856,1422
833,1854,1418
834,1858,1417
835,1854,1418
836,1857,1420
837,1856,1419
838,1858,1417
839,1858,1419
840,1857,1420
841,1851,1423
842,1855,1427
843,1850,1425
844,1849,1427
845,1848,1433
846,1856,1438
847,1862,1443
848,1863,1444
849,1870,1439
850,1866,1434
851,1872,1439
852,1869,1440
853,1865,1442
854,1871,1448
855,1873,1454
856,1877,1457
857,1873,1455
858,1869,1454
859,1872,1459
860,1868,1465
861,1868,1471
862,1875,1469
863,1874,1466
864,1878,1464
865,1885,1469
866,1887,1467
867,1890,1468
868,1886,1465
869,1885,1460
870,1893,1463
871,1900,1464
872,1908,1469
873,1908,1466
874,1902,1472
875,1903,1469
876,1911,1464
877,1913,1463
878,1910,1466
879,1910,1470
880,1912,1465
881,1914,1471
882,1916,1468
883,1923,1473
884,1924,1469
885,1920,1467
886,1920,1469
887,1916,1472
888,1910,1476
889,1907,1479
890,1906,1479
891,1901,1483
892,1896,1480
893,1898,1479
894,1896,1477
895,1900,1476
896,1903,1471
897,1911,1477
898,1911,1480
899,1905,1480
900,1907,1483
901,1906,1478
902,1903,1482
903,1907,1488
904,1908,1493
905,1906,1490
906,1900,1489
907,1900,1495
908,1905,1499
909,1902,1501
910,1897,1500
911,1904,1497
912,1912,1502
913,1908,1499
914,1902,1500
915,1906,1497
916,1908,1494
917,1910,1496
918,1917,1495
919,1919,1500
920,1915,1504
921,1915,1499
922,1914,1500
923,1908,1502
924,1902,1500
925,1910,1504
926,1910,1506
927,1907,1504
928,1915,1506
929,1919,1503
930,1917,1508
931,1915,1510
932,1914,1509
933,1918,1509
934,1921,1509
935,1915,1506
936,1917,1506
937,1919,1506
938,1923,1501
939,1919,1497
940,1916,1497
941,1916,1497
942,1911,1500
943,1912,1502
944,1916,1506
945,1918,1503
946,1919,1503
947,1920,1503
948,1921,1509
949,1917,1509
950,1917,1512
951,1916,1509
952,1922,1508
953,1921,1507
954,1918,1513
955,1914,1513
956,1908,1508
957,1912,1506
958,1906,1503
959,1902,1499
960,1909,1500
961,1903,1499
962,1907,1504
963,1903,1500
964,1910,1506
965,1906,1506
966,1910,1512
967,1912,1513
968,1912,1509
969,1917,1515
970,1924,1515
971,1921,1514
972,1919,1520
973,1923,1521
974,1927,1522
975,1934,1525
976,1932,1529
977,1940,1534
978,1947,1530
979,1945,1531
980,1945,1534
981,1940,1538
982,1935,1539
983,1940,1536
984,1947,1536
985,1954,1542
986,1959,1545
987,1964,1542
988,1964,1538
989,1970,1544
990,1978,1547
991,1983,1546
992,1986,1544
993,1993,1544
994,1992,1546
995,2000,1549
996,2005,1549
997,2004,1546
998,2001,1546
999,1998,1544
1000,2001,1540
1001,2006,1539
1002,2008,1542
1003,2008,1541
1004,2005,1543
1005,2009,1541
1006,2008,1542
1007,2006,1544
1008,2009,1549
1009,2015,1544
1010,2014,1543
1011,2009,1538
1012,2003,1533
1013,2009,1531
1014,2013,1531
1015,2021,1529
1016,2020,1528
1017,2019,1526
1018,2020,1526
1019,2023,1524
1020,2021,1522
1021,2016,1519
1022,2011,1517
1023,2013,1521
1024,2013,1527
1025,2020,1527
1026,2028,1524
1027,2024,1523
1028,2018,1524
1029,2020,1530
1030,2019,1530
1031,2013,1525
1032,2021,1531
1033,2024,1532
1034,2022,1529
1035,2024,1531
1036,2024,1527
1037,2024,1529
1038,2030,1533
1039,2036,1531
1040,2031,1532
1041,2033,1532
1042,2040,1528
1043,2035,1534
1044,2034,1535
1045,2039,1540
1046,2038,1546
1047,2046,1549
1048,2049,1552
1049,2047,1558
1050,2054,1560
1051,2053,1565
1052,2050,1565
1053,2054,1563
1054,2056,1564
1055,2055,1568
1056,2053,1570
1057,2050,1567
1058,2053,1564
1059,2048,1568
1060,2053,1572
1061,2057,1573
1062,2061,1568
1063,2062,1565
1064,2064,1564
1065,2061,1570
1066,2058,1569
1067,2061,1567
1068,2065,1572
1069,2072,1568
1070,2068,1565
1071,2070,1569
1072,2066,1568
1073,2062,1571
1074,2061,1573
1075,2056,1571
1076,2058,1566
1077,2062,1565
1078,2059,1570
1079,2062,1574
1080,2060,1573
1081,2060,1576
1082,2056,1571
1083,2063,1572
1084,2071,1572
1085,2079,1578
1086,2079,1576
1087,2073,1572
1088,2077,1571
1089,2079,1575
1090,2076,1573
1091,2076,1568
1092,2083,1573
1093,2083,1579
1094,2080,1584
1095,2076,1579
1096,2073,1583
1097,2079,1585
1098,2079,1585
1099,2078,1584
1100,2079,1582
1101,2073,1577
1102,2080,1578
1103,2083,1583
1104,2086,1588
1105,2083,1590
1106,2081,1596
1107,2089,1597
1108,2092,1596
1109,2095,1599
1110,2102,1602
1111,2104,1600
1112,2111,1601
1113,2113,1607
1114,2110,1611
1115,2113,1613
1116,2107,1609
1117,2114,1614
1118,2122,1610
1119,2128,1605
1120,2124,1611
1121,2130,1606
1122,2136,1602
1123,2141,1608
1124,2140,1604
1125,2146,1600
1126,2147,1597
1127,2141,1593
1128,2147,1599
1129,2146,1598
1130,2149,1597
1131,2153,1597
1132,2148,1594
1133,2145,1598
1134,2139,1602
1135,2134,1603
1136,2128,1598
1137,2123,1601
1138,2127,1596
1139,2125,1597
1140,2128,1597
1141,2134,1600
1142,2131,1596
1143,2131,1601
1144,2129,1603
1145,2123,1602
1146,2128,1598
1147,2131,1596
1148,2128,1594
1149,2122,1595
1150,2122,1600
1151,2124,1602
1152,2121,1608
1153,2126,1612
1154,2132,1613
1155,2134,1617
1156,2140,1621
1157,2143,1627
1158,2151,1622
1159,2147,1619
1160,2151,1621
1161,2146,1626
1162,2154,1630
1163,2156,1626
1164,2153,1625
1165,2150,1629
1166,2157,1626
1167,2155,1628
1168,2160,1627
1169,2168,1631
1170,2168,1635
1171,2176,1634
1172,2171,1637
1173,2177,1632
1174,2178,1628
1175,2182,1623
1176,2176,1621
1177,2182,1627
1178,2176,1630
1179,2177,1636
1180,2183,1640
1181,2185,1643
1182,2192,1645
1183,2199,1641
1184,2200,1641
1185,2202,1641
1186,2205,1642
1187,2209,1648
1188,2211,1650
1189,2206,1652
1190,2207,1658
1191,2208,1663
1192,2213,1666
1193,2218,1671
1194,2214,1674
1195,2214,1672
1196,2217,1673
1197,2216,1672
1198,2218,1668
1199,2222,1671
1200,2220,1675
1201,2223,1672
1202,2224,1673
1203,2219,1672
1204,2225,1673
1205,2223,1675
1206,2220,1680
1207,2219,1679
1208,2225,1678
1209,2222,1677
1210,2216,1677
1211,2221,1673
1212,2219,1676
1213,2225,1671
1214,2228,1677
1215,2236,1679
1216,2244,1685
1217,2242,1686
1218,2243,1681
1219,2247,1681
1220,2250,1687
1221,2249,1689
1222,2251,1687
1223,2257,1687
1224,2253,1683
1225,2259,1687
1226,2260,1690
1227,2258,1691
1228,2258,1686
1229,2266,1687
1230,2273,1686
1231,2278,1689
1232,2285,1694
1233,2289,1698
1234,2284,1695
1235,2283,1700
1236,2283,1695
1237,2289,1697
1238,2295,1695
1239,2296,1701
1240,2297,1696
1241,2297,1693
1242,2301,1692
1243,2308,1695
1244,2302,1694
1245,2305,1694
1246,2309,1689
1247,2317,1691
1248,2325,1689
1249,2319,1685
1250,2322,1685
1251,2316,1691
1252,2313,1695
1253,2321,1696
1254,2326,1693
1255,2326,1692
1256,2322,1697
1257,2329,1694
1258,2330,1696
1259,2332,1697
1260,2338,1703
1261,2332,1706
1262,2339,1710
1263,2337,1715
1264,2338,1718
1265,2336,1716
1266,2333,1719
1267,2333,1717
1268,2329,1714
1269,2329,1712
1270,2328,1708
1271,2323,1709
1272,2328,1713
1273,2329,1713
1274,2329,1712
1275,2328,1709
1276,2334,1707
1277,2328,1708
1278,2334,1706
1279,2329,1707
1280,2325,1711
1281,2325,1717
1282,2331,1718
1283,2326,1723
1284,2323,1718
1285,2319,1719
1286,2324,1718
1287,2320,1722
1288,2314,1720
1289,2308,1718
1290,2314,1720
1291,2312,1725
1292,2313,1727
1293,2317,1722
1294,2318,1724
1295,2312,1729
1296,2316,1729
1297,2315,1724
1298,2312,1723
1299,2312,1729
1300,2319,1734
1301,2325,1740
1302,2321,1735
1303,2327,1731
1304,2333,1736
1305,2330,1732
1306,2336,1731
1307,2339,1733
1308,2341,1730
1309,2336,1733
1310,2337,1732
1311,2341,1737
1312,2344,1738
1313,2346,1733
1314,2347,1730
1315,2347,1735
1316,2351,1732
1317,2357,1734
1318,2364,1738
1319,2363,1741
1320,2368,1744
1321,2367,1742
1322,2364,1737
1323,2358,1742
1324,2363,1744
1325,2357,1742
1326,2362,1741
1327,2369,1742
1328,2376,1741
1329,2378,1743
1330,2372,1739
1331,2372,1737
1332,2379,1741
1333,2383,1738
1334,2380,1737
1335,2383,1733
1336,2387,1731
1337,2388,1733
1338,2386,1735
1339,2383,1733
1340,2390,1728
1341,2394,1728
1342,2400,1725
1343,2399,1724
1344,2396,1728
1345,2392,1726
1346,2387,1726
1347,2384,1721
1348,2381,1719
1349,2375,1718
1350,2381,1716
1351,2387,1714
1352,2381,1710
1353,2383,1706
1354,2390,1708
1355,2394,1704
1356,2400,1699
1357,2400,1699
1358,2402,1703
1359,2400,1704
1360,2397,1709
1361,2405,1708
1362,2407,1705
1363,2411,1710
1364,2405,1716
1365,2405,1720
1366,2409,1720
1367,2412,1720
1368,2417,1721
1369,2422,1725
1370,2424,1727
1371,2420,1725
1372,2421,1724
1373,2417,1726
1374,2419,1727
1375,2415,1730
1376,2417,1731
1377,2421,1736
1378,2422,1739
1379,2416,1744
1380,2417,1740
1381,2424,1744
1382,2421,1747
1383,2425,1753
1384,2432,1750
1385,2438,1754
1386,2439,1753
1387,2441,1755
1388,2445,1758
1389,2449,1761
1390,2457,1756
1391,2457,1753
1392,2453,1750
1393,2454,1753
1394,2458,1753
1395,2453,1750
1396,2450,1748
1397,2451,1744
1398,2459,1746
1399,2459,1747
1400,2466,1748
1401,2465,1750
1402,2469,1746
1403,2466,1748
1404,2466,1752
1405,2465,1756
1406,2469,1756
1407,2463,1762
1408,2458,1766
1409,2462,1765
1410,2456,1763
1411,2463,1764
1412,2457,1768
1413,2454,1766
1414,2455,1767
1415,2451,1765
1416,2447,1764
1417,2442,1766
1418,2441,1768
1419,2435,1770
1420,2438,1774
1421,2445,1770
1422,2450,1773
1423,2445,1768
1424,2452,1769
1425,2459,1766
1426,2460,1770
1427,2456,1765
1428,2462,1766
1429,2465,1771
1430,2471,1768
1431,2470,1771
1432,2466,1775
1433,2474,1780
1434,2468,1784
1435,2471,1780
1436,2465,1779
1437,2463,1779
1438,2461,1777
1439,2464,1775
1440,2458,1774
1441,2458,1771
1442,2456,1772
1443,2458,1770
1444,2462,1775
1445,2458,1773
1446,2463,1775
1447,2460,1772
1448,2467,1771
1449,2473,1773
1450,2475,1769
1451,2478,1772
1452,2475,1776
1453,2470,1782
1454,2471,1785
1455,2466,1791
1456,2462,1790
1457,2469,1793
1458,2474,1792
1459,2482,1797
1460,2483,1801
1461,2477,1803
1462,2476,1809
1463,2475,1813
1464,2477,1818
1465,2484,1823
1466,2487,1823
1467,2493,1826
1468,2491,1827
1469,2494,1823
1470,2489,1825
1471,2497,1822
1472,2491,1820
1473,2496,1817
1474,2503,1822
1475,2501,1819
1476,2502,1816
1477,2496,1820
1478,2496,1820
1479,2502,1823
1480,2507,1827
1481,2508,1822
1482,2513,1826
1483,2509,1829
1484,2513,1827
1485,2518,1830
1486,2522,1828
1487,2525,1832
1488,2532,1828
1489,2536,1831
1490,2536,1831
1491,2537,1830
1492,2541,1827
1493,2535,1832
1494,2529,1832
1495,2530,1831
1496,2531,1827
1497,2530,1824
1498,2529,1828
1499,2529,1829
1500,2535,1828
1501,2531,1824
1502,2534,1824
1503,2531,1821
1504,2533,1825
1505,2533,1828
1506,2528,1829
1507,2525,1825
1508,2523,1826
1509,2523,1821
1510,2521,1816
1511,2528,1818
1512,2523,1818
1513,2518,1820
1514,2518,1820
1515,2514,1815
1516,2515,1816
1517,2511,1819
1518,2507,1814
1519,2514,1810
1520,2520,1816
1521,2526,1813
1522,2526,1817
1523,2530,1814
1524,2526,1818
1525,2527,1818
1526,2534,1822
1527,2537,1826
1528,2540,1826
1529,2543,1825
1530,2537,1829
1531,2536,1831
1532,2544,1831
1533,2546,1828
1534,2548,1831
1535,2543,1835
1536,2541,1835
1537,2548,1836
1538,2550,1841
1539,2547,1840
1540,2546,1843
1541,2545,1843
1542,2542,1841
1543,2537,1839
1544,2543,1842
1545,2547,1841
1546,2555,1838
1547,2549,1835
1548,2552,1835
1549,2560,1833
1550,2555,1832
1551,2554,1836
1552,2559,1840
1553,2560,1846
1554,2564,1850
1555,2566,1847
1556,2568,1852
1557,2563,1855
1558,2567,1852
1559,2570,1851
1560,2565,1849
1561,2567,1854
1562,2561,1852
1563,2557,1850
1564,2552,1846
1565,2556,1847
1566,2564,1842
1567,2561,1846
1568,2564,1851
1569,2559,1849
1570,2566,1848
1571,2573,1849
1572,2574,1851
1573,2582,1857
1574,2585,1862
1575,2585,1858
1576,2583,1854
1577,2590,1856
1578,2598,1854
1579,2600,1852
1580,2600,1851
1581,2599,1851
1582,2593,1853
1583,2600,1849
1584,2605,1854
1585,2608,1849
1586,2610,1852
1587,2608,1858
1588,2614,1855
1589,2609,1860
1590,2613,1861
1591,2608,1864
1592,2612,1869
1593,2620,1871
1594,2627,1867
1595,2629,1870
1596,2627,1866
1597,2628,1872
1598,2634,1877
1599,2632,1875
1600,2631,1870
1601,2629,1866
1602,2628,1869
1603,2622,1868
1604,2629,1869
1605,2624,1872
1606,2620,1873
1607,2616,1873
1608,2615,1875
1609,2620,1879
1610,2627,1883
1611,2629,1879
1612,2636,1878
1613,2640,1875
1614,2634,1881
1615,2642,1882
1616,2642,1881
1617,2647,1887
1618,2655,1886
1619,2649,1889
1620,2649,1886
1621,2650,1886
1622,2656,1887
1623,2655,1889
1624,2649,1889
1625,2646,1888
1626,2641,1891
1627,2642,1888
1628,2643,1894
1629,2644,1894
1630,2649,1896
1631,2648,1899
1632,2647,1901
1633,2654,1902
1634,2653,1901
1635,2654,1905
1636,2653,1909
1637,2653,1912
1638,2652,1907
1639,2654,1904
1640,2662,1904
1641,2662,1899
1642,2657,1905
1643,2659,1906
1644,2659,1902
1645,2663,1899
1646,2662,1898
1647,2659,1897
1648,2656,1901
1649,2652,1899
1650,2653,1902
1651,2660,1900
1652,2659,1900
1653,2657,1898
1654,2654,1902
1655,2651,1908
1656,2645,1908
1657,2646,1906
1658,2646,1910
1659,2650,1916
1660,2650,1915
1661,2656,1919
1662,2660,1922
1663,2663,1923
1664,2661,1922
1665,2655,1924
